,sol_price,sol_volume,sol_price_return,sol_price_MA7,sol_price_MA30,sol_price_RSI,sol_price_MACD,sol_price_Signal,sol_price_MA20,sol_price_BB_upper,sol_price_BB_lower
2021-10-31,202.42102051,2577364486.0,0.03584638365861581,198.0814230785714,172.7576828,68.99744825687277,12.60031646744477,11.750563042054004,179.6564872745,222.86342547165106,136.44954907734893
2021-11-01,203.54508972,3157612663.0,0.005553124903569184,197.1443939214286,173.90608520466668,70.87428451248483,12.617759283519291,11.924002290347062,182.1968856815,224.70862588247755,139.68514548052244
2021-11-02,220.23959351,3020087232.0,0.08201870068673833,200.06329999714285,175.494433085,75.40141194334494,13.81938846701334,12.303079525680317,185.8000633245,228.38644662041224,143.21368002858776
2021-11-03,242.89881897,6024951132.0,0.10288443189925878,208.50961739714285,178.03332977300002,75.92128624690531,16.410923465511388,13.124648313646532,190.457164002,236.6648870340054,144.24944096999462
2021-11-04,247.38777161,4440296290.0,0.018480751199347667,216.01301574857143,180.80906117766665,73.9260119235309,18.612402396123684,14.222199130141963,194.696742249,245.47460851493128,143.91887598306874
2021-11-05,236.47433472,2752870913.0,-0.044114698228515214,221.19752720571427,183.55461425800002,66.13816249183836,19.25451311810059,15.22866192773369,198.643518067,249.53137356112097,147.75566257287903
2021-11-06,258.93432617,3869779683.0,0.0949785585678633,230.27156502999998,187.043052165,71.07759631365107,21.32984689779073,16.448898921745098,203.603044129,257.7574658450205,149.44862241297955
2021-11-07,249.82348633,2624869522.0,-0.035185909781688784,237.04334586142858,190.07219492633334,65.85190489366381,21.98595483597768,17.556310104591617,208.232654572,261.5196714290452,154.94563771495478
2021-11-08,248.46717834,3344410176.0,-0.0054290651768761355,243.46078709285715,193.12690633166667,63.383942270814956,22.141251815856634,18.47329844684462,212.8551620485,263.0183653961183,162.69195870088168
2021-11-09,239.21313477,2819309492.0,-0.03724453117641502,246.17129298714283,196.16572062233334,63.84860540354048,21.272386978942905,19.033116153264277,216.01847534200002,264.3267784551545,167.71017222884552
2021-11-10,233.77952576,3873202098.0,-0.022714509448757192,244.86853681428573,199.12976684633333,68.98804198072527,19.915781764278933,19.209649275467207,218.1915298465,265.5325263587292,170.85053333427075
2021-11-11,234.24075317,2693456862.0,0.0019729161845998267,242.99039132285716,201.846554566,66.26512433276328,18.662747024650145,19.100268825303797,220.08199081450002,266.7795858264157,173.38439580258435
2021-11-12,228.50209045,3022054714.0,-0.024498993630861388,241.85149928428572,204.52408955933333,61.6572597184595,17.010558712238407,18.682326802690717,221.62190246600002,267.23088408440134,176.01292084759868
2021-11-13,241.82502747,2322796265.0,0.058305536696677596,239.40731375571428,207.59303029433335,67.84647698955187,16.58505505354276,18.262872452861128,223.595054627,269.11013354308415,178.07997571091585
2021-11-14,238.42552185,1705211600.0,-0.014057707986497525,237.7790331157143,210.12067413366668,64.24033646729484,15.791494131276465,17.768596788544198,225.0111160285,270.5211935118025,179.5010385451975
2021-11-15,237.55360413,2414551003.0,-0.0036569814893748775,236.21995108571429,212.78783365933336,63.47777552273634,14.920243628973509,17.19892615663006,226.898433686,271.1200854681756,182.6767819038244
2021-11-16,219.23902893,3557977024.0,-0.07709660001612706,233.36650739428572,214.7710077926667,49.60849757045017,12.606616938804848,16.280464313065018,228.67165527400002,268.2084435243812,189.13486702361882
2021-11-17,218.71524048,2982505239.0,-0.0023891204616091066,231.21446663999998,216.82047322633335,38.55483895227563,10.608497610737572,15.14607097259953,229.8642181405,266.43491707250735,193.29351920849263
