,btc_price,btc_volume,eth_price,eth_volume,sol_price,sol_volume,btc_price_return,eth_price_return,sol_price_return,btc_price_MA7,btc_price_MA30,eth_price_MA7,eth_price_MA30,sol_price_MA7,sol_price_MA30,btc_price_RSI,btc_price_MACD,btc_price_Signal,btc_price_MA20,btc_price_BB_upper,btc_price_BB_lower,eth_price_RSI,eth_price_MACD,eth_price_Signal,eth_price_MA20,eth_price_BB_upper,eth_price_BB_lower,sol_price_RSI,sol_price_MACD,sol_price_Signal,sol_price_MA20,sol_price_BB_upper,sol_price_BB_lower,btc_volatility_30d,btc_volatility_90d,btc_momentum_14d,btc_momentum_30d,btc_volume_ma20,btc_volume_ma50,btc_price_to_ma50,eth_volatility_30d,eth_volatility_90d,eth_momentum_14d,eth_momentum_30d,eth_volume_ma20,eth_volume_ma50,eth_price_to_ma50,sol_volatility_30d,sol_volatility_90d,sol_momentum_14d,sol_momentum_30d,sol_volume_ma20,sol_volume_ma50,sol_price_to_ma50
2021-01-01,29402.64,8781.46555456,731.18,67207.99694594,1.84208405,25722549.0,,,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02,32216.53,17867.8788985,775.59,101732.13526586,1.79927504,31671064.0,0.09570195057314579,0.060737438113734,-0.023239444475945614,,,,,,,,224.46985754985508,44.89397150997102,,,,,3.5426780626780783,0.7085356125356157,,,,,-0.0034149637606839534,-0.0006829927521367907,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-03,33097.83,14160.5812801,979.33,256214.08926463,2.16175199,55073422.0,0.02735552214965442,0.2626903389677535,0.20145722134843824,,,,,,,,468.0816279088649,129.5315027897498,,,,,22.530671666626063,5.072962823353706,,,,,0.022863951968246532,0.004026396191939874,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-04,32005.88,22446.94000548,1042.95,319719.31834411,2.48509693,59955405.0,-0.032991588874557665,0.06496278067658512,0.14957540989704388,,,,,,,,566.5041644817757,216.92603512815498,,,,,42.22564475613933,12.503499209910832,,,,,0.06898618654825506,0.01701835426320291,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-05,34039.05,14806.49650719,1102.97,302282.87488153,2.15721703,50555207.0,0.06352488980149906,0.05754830049379156,-0.13193847533343506,,,,,,,,799.3501499507875,333.41085809268145,,,,,61.96289552705559,22.395378473339786,,,,,0.07818001151494847,0.029250685713552025,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-06,36849.94,19219.28788972,1212.85,219418.46409461,1.92921698,50263975.0,0.08257839158260882,0.09962192988023233,-0.10569175323078173,,,,,,,,1196.9004787376143,506.10878222166804,,,,,85.4857798002572,35.01345873872327,,,,,0.06630417225506502,0.03666138302185462,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-07,39510.49,23102.26120863,1226.56,218739.14655032,2.37274504,159870278.0,0.0721995748161326,0.011303953497959318,0.22990055789370034,33874.62285714286,,1010.2042857142858,,2.10676958,,,1706.9692493969487,746.2808756567242,,,,,104.03486827868869,48.81774064671636,,,,,0.0916252924673493,0.04765416491095356,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-08,40667.07,22183.95174233,1217.84,244319.41733279,3.21988702,206412154.0,0.029272732380691835,-0.0071093138533785405,0.35703034490380814,35483.827142857146,,1079.7271428571428,,2.3035985757142856,,,2179.4059301198213,1032.9058865493437,,,,,116.68643482699031,62.39147948277115,,,,,0.17799789169386981,0.07372291026753683,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-09,40239.06,8535.84731272,1280.11,115530.77562137,3.38538194,91906875.0,-0.010524731680939925,0.051131511528607954,0.051397741278512266,36629.90285714286,,1151.8014285714285,,2.5301852757142855,,,2490.56884601244,1324.438478441963,,,,,130.23627830697615,75.96043924761216,,,,,0.2568421395016127,0.11034675611435202,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-10,38173.73,16218.9974052,1256.0,158589.44621696,3.46611094,62766977.0,-0.051326497189546516,-0.018834318925717297,0.02384634922463147,37355.03142857143,,1191.3257142857142,,2.7165222685714285,,,2541.2192348626413,1567.7946297260987,,,,,137.44477358836673,88.25730611576307,,,,,0.32212764260452653,0.15270293341238694,,,,,,,,,,,,,,,,,,,,,,,,
