,eth_price,eth_volume,eth_price_return,eth_price_MA7,eth_price_MA30,eth_price_RSI,eth_price_MACD,eth_price_Signal,eth_price_MA20,eth_price_BB_upper,eth_price_BB_lower
2021-01-01,731.18,67207.99694594,,,,,0.0,0.0,,,
2021-01-02,775.59,101732.13526586,0.060737438113734,,,,3.5426780626780783,0.7085356125356157,,,
2021-01-03,979.33,256214.08926463,0.2626903389677535,,,,22.530671666626063,5.072962823353706,,,
2021-01-04,1042.95,319719.31834411,0.06496278067658512,,,,42.22564475613933,12.503499209910832,,,
2021-01-05,1102.97,302282.87488153,0.05754830049379156,,,,61.96289552705559,22.395378473339786,,,
2021-01-06,1212.85,219418.46409461,0.09962192988023233,,,,85.4857798002572,35.01345873872327,,,
2021-01-07,1226.56,218739.14655032,0.011303953497959318,1010.2042857142858,,,104.03486827868869,48.81774064671636,,,
2021-01-08,1217.84,244319.41733279,-0.0071093138533785405,1079.7271428571428,,,116.68643482699031,62.39147948277115,,,
2021-01-09,1280.11,115530.77562137,0.051131511528607954,1151.8014285714285,,,130.23627830697615,75.96043924761216,,,
2021-01-10,1256.0,158589.44621696,-0.018834318925717297,1191.3257142857142,,,137.44477358836673,88.25730611576307,,,
2021-01-11,1087.82,391990.39838963,-0.13390127388535034,1197.7357142857143,,,128.1100644944321,96.22785779149689,,,
2021-01-12,1083.62,13753.6015976,-0.0038609328749241723,1194.9714285714285,,,119.00155948357826,100.78259812991317,,,
2021-01-13,1130.76,122061.98804887,0.04350233476680021,1183.2442857142855,,,114.26957909634439,103.47999432319942,,,
2021-01-14,1233.01,112697.6967462,0.09042590823870666,1184.1657142857143,,77.50506988215949,117.41666478616003,106.26732841579155,,,
2021-01-15,1227.63,59085.26012576,-0.004363306055911842,1185.5642857142855,,77.05066312130162,118.11507477349528,108.6368776873323,,,
2021-01-16,1228.19,116544.73802915,0.00045616350203236955,1178.1471428571426,,75.89896770354095,117.36089371202274,110.3816808922704,,,
2021-01-17,1232.95,93016.58930532,0.0038756218500395345,1174.8542857142857,,68.79223473621815,115.81228013152986,111.4678007401223,,,
2021-01-18,1257.86,92116.02988287,0.02020357678737983,1199.1457142857143,,66.89304972566775,115.26630333619732,112.22750125933732,,,
2021-01-19,1369.62,179194.96261236,0.08884931550411013,1240.0028571428572,,69.38342322957708,122.44029526764712,114.27006006099928,,,
2021-01-20,1377.8,149880.62716112,0.005972459514317796,1275.2942857142857,,64.0711105044956,127.31814882912317,116.87967781462407,1152.732,1492.1233512280785,813.3406487719215
2021-01-21,1110.37,211555.64490422,-0.19409928872114968,1257.7742857142857,,43.08269333809608,108.35546260145748,115.17483477199076,1171.6915,1448.5289106354994,894.8540893645003
2021-01-22,1234.77,151687.87291139,0.11203472716301777,1258.7942857142857,,50.88589578558497,102.18748378945224,112.57736457548307,1194.6505,1400.1410334712905,989.1599665287094
2021-01-23,1234.52,55607.68996937,-0.00020246685617564264,1259.6985714285713,,47.44882541885374,96.17054900751714,109.29600146188989,1207.41,1386.6163024032705,1028.2036975967296
2021-01-24,1393.5,134917.83419197,0.12877879661730884,1282.6342857142859,,56.685271981174274,103.04263088483276,108.04532734647846,1224.9375,1404.9865580954322,1044.8884419045678
2021-01-25,1317.92,149354.54376158,-0.05423753139576604,1291.2142857142858,,62.29455641283208,101.22329183275997,106.68092024373476,1235.685,1410.6697511551843,1060.7002488448156
2021-01-26,1367.96,110483.29269227,0.03796892072356428,1290.9771428571428,,64.48320123876857,102.63613682805612,105.87196356059904,1243.4405000000002,1427.6690095343902,1059.2119904656101
2021-01-27,1240.62,141198.79745693,-0.09308751717886499,1271.3799999999999,,55.17319319658698,92.41524744456365,103.18062033739197,1244.1435,1428.2080209845253,1060.0789790154745
2021-01-28,1331.71,108281.42161391,0.07342296593638675,1303.0,,54.697047570098796,90.6207016604078,100.66863660199515,1249.837,1437.4853280921766,1062.1886719078234
2021-01-29,1379.35,151815.79334246,0.03577355430236295,1323.6542857142856,,56.94103868535665,91.9823458276885,98.93137844713382,1254.799,1450.8769840455527,1058.7210159544472
2021-01-30,1378.15,70078.00563981,-0.0008699749882189467,1344.1728571428573,1201.4503333333334,56.85650535864516,91.90520270145362,97.52614329799779,1260.9064999999998,1464.6035045280091,1057.2094954719905
2021-01-31,1314.17,46723.36567596,-0.04642455465660489,1332.8400000000001,1220.8833333333334,53.52278838980552,85.69359252903064,95.15963314420436,1272.224,1459.9559358076958,1084.492064192304
2021-02-01,1375.28,60834.72958926,0.04650083322553389,1341.0342857142857,1240.873,54.9378458847079,84.72525302039094,93.07275711944169,1286.807,1457.3796400100541,1116.234359989946
2021-02-02,1424.14,58237.73749385,0.03552731080216409,1349.06,1255.7,52.42078715544189,86.89871633390248,91.83794896233385,1301.476,1465.8936112221545,1137.0583887778457
2021-02-03,1667.28,106199.11273943,0.17072759700591233,1410.0114285714285,1276.5109999999997,60.63451478281315,107.00705692045563,94.87177055395821,1323.1895,1551.7331354949806,1094.6458645050193
2021-02-04,1598.89,100659.42170598,-0.04101890504294414,1448.18,1293.0416666666667,71.02065404475044,116.08638864017166,99.11469417120091,1341.7525,1596.4309832004121,1087.074016799588
2021-02-05,1721.04,77705.65401435,0.07639675024548276,1496.9928571428572,1309.9813333333332,70.96443198965295,131.6210629090067,105.61596791876207,1366.395,1666.1871654465929,1066.602834553407
2021-02-06,1679.46,75746.50362619,-0.024159810347231914,1540.037142857143,1325.078,68.52249641988878,138.97522579303427,112.28781949361651,1388.7205,1712.2345748243774,1065.2064251756224
2021-02-07,1615.44,79754.24042088,-0.03811939551998855,1583.0757142857144,1338.3313333333333,60.03236538531082,138.0462625164971,117.43950809819265,1406.5994999999998,1739.0625671359946,1074.136432864005
2021-02-08,1752.3,110082.25161197,0.08471995245877273,1636.935714285714,1354.0710000000001,68.60459139969163,146.66287234238393,123.28418094703092,1425.7334999999998,1791.6051155199211,1059.8618844800785
2021-02-09,1772.94,67940.076017,0.011778804999144077,1686.7642857142857,1371.3023333333333,67.79349736379615,153.38890143853564,129.30512504533186,1445.4905,1841.8668861719516,1049.1141138280486
2021-02-10,1743.14,87952.33232993,-0.01680823942152576,1697.6014285714284,1393.1463333333334,74.14893412529076,154.53335270830098,134.3507705779257,1477.1290000000001,1861.7168776807018,1092.5411223192984
2021-02-11,1788.18,75222.08919245,0.025838429500785853,1724.642857142857,1416.6316666666667,72.95180056515926,157.261873187937,138.93299109992796,1504.7995,1895.551521968704,1114.0474780312961
2021-02-12,1845.93,69275.68002034,0.03229540650270102,1742.4842857142855,1440.4706666666666,73.22402739616933,162.2142824162795,143.58924936319826,1535.3700000000001,1932.701050676357,1138.0389493236432
2021-02-13,1817.2,58072.79926344,-0.01556397046475222,1762.1614285714288,1459.9436666666668,71.27077176493387,161.95392745368417,147.26218498129546,1556.555,1967.0019439910322,1146.1080560089679
2021-02-14,1802.0,62494.24175093,-0.008364516839093117,1788.8128571428572,1479.0893333333333,74.80651296185178,158.6917812299564,149.54810423102765,1580.759,1989.0408191242013,1172.4771808757987
2021-02-15,1799.92,63239.99172363,-0.0011542730299666237,1795.6157142857144,1498.1470000000002,72.97238812429674,154.16158938823264,150.47080126246865,1602.357,2008.9384777203477,1195.7755222796523
2021-02-16,1781.16,87870.25276779,-0.010422685452686764,1796.7900000000002,1516.4206666666666,69.96443509964884,147.35894233972294,149.84842947791952,1629.384,2005.436361046197,1253.3316389538031
2021-02-17,1851.26,65212.37484467,0.0393563744975185,1812.2357142857145,1536.2006666666666,62.75689918180558,145.94195171949787,149.06713392623521,1655.3615000000002,2016.3092541009564,1294.413745899044
2021-02-18,1939.05,72480.32210128,0.04742175599321552,1833.7885714285715,1555.1816666666668,72.96826468602296,150.17180862137843,149.28806886526388,1683.3465,2040.9641134997564,1325.7288865002438
2021-02-19,1958.16,65276.4575562,0.009855341533225204,1849.8214285714287,1574.5269999999998,68.5988140432341,153.29888387360552,150.0902318669322,1712.3470000000002,2059.6785340890165,1365.0154659109842
2021-02-20,1916.4,57264.99341453,-0.021326142909670276,1863.9928571428572,1601.3946666666666,68.57944921899505,150.67059372793028,150.20630423913184,1742.4585000000002,2046.1185693140062,1438.7984306859942
2021-02-21,1935.24,27671.26608507,0.009830932999373765,1883.027142857143,1624.7436666666667,76.98916382540594,148.39725422658444,149.84449423662235,1770.4564999999998,2031.8945171504827,1509.0184828495169
2021-02-22,1778.72,166674.70417511,-0.0808788574026994,1879.9985714285715,1642.8836666666664,52.15807358034373,132.4390850534321,146.3634123999843,1788.1855,1992.6146375333487,1583.7563624666514
2021-02-23,1578.14,203281.48041798,-0.11276648376360521,1850.9957142857143,1649.0383333333332,37.70295179658106,102.42628487442744,137.57598689487293,1783.7285,2002.6311308201825,1564.8258691798173
