,btc_price,btc_volume,btc_price_return,btc_price_MA7,btc_price_MA30,btc_price_RSI,btc_price_MACD,btc_price_Signal,btc_price_MA20,btc_price_BB_upper,btc_price_BB_lower
2021-01-01,29402.64,8781.46555456,,,,,0.0,0.0,,,
2021-01-02,32216.53,17867.8788985,0.09570195057314579,,,,224.46985754985508,44.89397150997102,,,
2021-01-03,33097.83,14160.5812801,0.02735552214965442,,,,468.0816279088649,129.5315027897498,,,
2021-01-04,32005.88,22446.94000548,-0.032991588874557665,,,,566.5041644817757,216.92603512815498,,,
2021-01-05,34039.05,14806.49650719,0.06352488980149906,,,,799.3501499507875,333.41085809268145,,,
2021-01-06,36849.94,19219.28788972,0.08257839158260882,,,,1196.9004787376143,506.10878222166804,,,
2021-01-07,39510.49,23102.26120863,0.0721995748161326,33874.62285714286,,,1706.9692493969487,746.2808756567242,,,
2021-01-08,40667.07,22183.95174233,0.029272732380691835,35483.827142857146,,,2179.4059301198213,1032.9058865493437,,,
2021-01-09,40239.06,8535.84731272,-0.010524731680939925,36629.90285714286,,,2490.56884601244,1324.438478441963,,,
2021-01-10,38173.73,16218.9974052,-0.051326497189546516,37355.03142857143,,,2541.2192348626413,1567.7946297260987,,,
2021-01-11,35455.58,40786.96425433,-0.07120472639168351,37847.845714285715,,,2335.11034595767,1721.257772972413,,,
2021-01-12,34035.02,18267.87445007,-0.04006590782043351,37847.270000000004,,,2033.697052987016,1783.7456289753336,,,
2021-01-13,37393.49,13662.38751261,0.09867689221278564,37924.92,,,2042.2831390870851,1835.453130997684,,,
2021-01-14,39134.35,10920.63403101,0.0465551624092857,37871.18571428571,,69.32450770878616,2164.608270486431,1901.2841588954334,,,
2021-01-15,36756.57,13499.11727006,-0.060759409572408885,37312.54285714286,,63.342887904522506,2046.0986922894954,1930.2470655742459,,,
2021-01-16,36000.0,7688.58269814,-0.020583258992882048,36706.962857142855,,57.41851917065651,1869.5787812544077,1918.1134087102782,,,
2021-01-17,35819.25,6821.71255949,-0.005020833333333363,36370.60857142857,,55.48681794317815,1695.5551611413975,1873.6017591965021,,,
2021-01-18,36616.95,6251.2145414,0.02227014803492522,36536.51857142857,,59.408284796352795,1603.5234911253137,1819.5861055822647,,,
2021-01-19,35917.62,6578.85825052,-0.019098532237119548,36805.46142857143,,54.05361665802819,1457.3581258292324,1747.1405096316585,,,
2021-01-20,35496.91,12160.46753333,-0.011713192577904596,36534.52142857143,,46.744605138742195,1292.6721202459375,1656.2468317545142,35941.398,41757.58826357723,30125.207736422773
2021-01-21,30818.18,21214.6412581,-0.13180668401841178,35346.497142857144,,30.937523712111613,775.6812939884185,1480.133724201295,36012.175,41519.58909247571,30504.760907524298
2021-01-22,32992.06,17019.5834508,0.07053888321763324,34808.71,,33.88742330528453,535.2067572454762,1291.1483308101313,36050.951499999996,41455.80796611413,30646.09503388586
2021-01-23,32117.49,5255.74586786,-0.026508499317714485,34254.065714285716,,33.26373602369661,270.93529105376365,1087.1057228588577,36001.9345,41535.799394668196,30468.069605331806
2021-01-24,32288.83,4658.70962563,0.005334787992461454,33749.72,,36.846093323915696,74.4655635126328,884.5776909896127,36016.082,41508.221428212884,30523.94257178712
2021-01-25,32261.22,10038.75547087,-0.0008550944707503838,33127.472857142864,,41.883777820463166,-82.5148277348344,691.1591872447234,35927.1905,41608.35749936118,30246.023500638817
