,btc_price,btc_volume,eth_price,eth_volume,sol_price,sol_volume,btc_price_return,eth_price_return,sol_price_return,btc_price_MA7,btc_price_MA30,eth_price_MA7,eth_price_MA30,sol_price_MA7,sol_price_MA30,btc_price_RSI,btc_price_MACD,btc_price_Signal,btc_price_MA20,btc_price_BB_upper,btc_price_BB_lower,eth_price_RSI,eth_price_MACD,eth_price_Signal,eth_price_MA20,eth_price_BB_upper,eth_price_BB_lower,sol_price_RSI,sol_price_MACD,sol_price_Signal,sol_price_MA20,sol_price_BB_upper,sol_price_BB_lower
2021-12-09,47593.12,2585.43270776,4105.61,16798.75151737,181.17808533,1968182104.0,-0.0583693585499957,-0.07584590866527419,-0.06907564000720312,50251.51714285714,57259.170000000006,4251.847142857143,4366.008333333333,195.58762904571427,213.40938059500002,25.059260685743297,-2832.630752448458,-2161.1365755396046,54738.914000000004,62270.58402954553,47207.24397045448,40.93300475177275,-15.213863525891611,1.8645384742804163,4315.3855,4664.743669729571,3966.0273302704304,39.382875337135644,-6.2758692399695235,-3.1432000683230283,206.9616600035,236.78488645078363,177.13843355621634
2021-12-10,47142.42,2705.16530403,3901.67,24219.7676061,167.95483398,2118266396.0,-0.009469856147275135,-0.04967349553415923,-0.07298482775063553,49308.478571428575,56666.53633333334,4205.971428571429,4341.590999999999,189.4062630785714,211.21522420233336,31.636397391771837,-3030.3371337637873,-2334.9766871844413,54107.60799999999,61973.42199930936,46241.79400069063,46.46683879691733,-46.32931639833896,-7.77423250024346,4289.693499999999,4681.095001558258,3898.291998441741,39.89572839237782,-8.370495083181822,-4.188659071294787,204.458638,238.48282654637583,170.43444945362418
2021-12-11,49400.54,1323.03955982,4089.22,8778.17998493,171.94949341,1877844189.0,0.0478999593147742,0.04806916012886786,0.023784128955024242,49332.131428571425,56152.51,4200.929999999999,4320.448,185.2383575442857,209.138848877,36.12838213156627,-2970.56661047793,-2462.094671843139,53643.7115,61468.73347568878,45818.689524311216,49.74519832217234,-55.21829723688552,-17.263045447571873,4280.8575,4682.365392240656,3879.3496077593445,41.11033460756863,-9.59753115871078,-5.270433488777986,201.49198150599997,236.01158069774633,166.97238231425362
2021-12-12,50124.38,1233.78838616,4136.06,6795.05903098,173.43167114,1196808540.0,0.014652471410231405,0.011454507216535292,0.008619843540136785,49426.58285714286,55684.709,4191.977142857143,4302.518333333333,181.9902736114286,207.30316823333337,29.424381106014664,-2832.143019749943,-2536.1043414245,53335.225,61206.62433997566,45463.82566002434,45.92184190208463,-57.81680590256292,-25.373797538570084,4282.956,4680.775565997553,3885.1364340024475,37.93199329817367,-10.331274234766681,-6.282601637975725,199.3767013545,235.37400362789708,163.37939908110292
2021-12-13,46725.02,3337.44792896,3786.59,21135.23921476,155.21305847,2547597256.0,-0.06781849471255308,-0.08449345512395856,-0.10504778366168954,48879.442857142865,55094.959,4110.481428571428,4273.870666666667,176.42082214285713,204.41610260000002,22.776426947961298,-2962.5903715186214,-2621.4015474433245,52792.476500000004,60924.15810903952,44660.79489096049,35.101748764704325,-87.0717422542757,-37.71338648171121,4255.159,4709.173517268427,3801.144482731573,30.73611606054034,-12.24174547048267,-7.474430404477115,196.045509338,235.45992692610162,156.63109174989836
2021-12-14,48389.96,2016.58981458,3862.68,11516.07278472,153.34144592,2604045117.0,0.035632729531202,0.02009459698567828,-0.012058344629306661,48559.82,54524.295333333335,4046.3414285714284,4248.265,171.09861319285713,201.5799667356667,29.771133398687866,-2898.2152725166598,-2676.7642924579914,52352.7215,60435.319311074825,44270.123688925174,31.848340784287785,-102.93014831610981,-50.756738848590935,4234.7595,4721.335073465872,3748.1839265341287,27.864094038401774,-13.748348773445514,-8.729214078270795,192.96650466850002,235.65715351613568,150.27585582086436
2021-12-15,48876.84,2593.35180959,4020.51,33173.40608857,178.34078979,3783787658.0,0.010061591288771377,0.040860231756190135,0.16303057350223793,48321.75428571429,54033.32033333333,3986.0485714285714,4230.205333333333,168.77276829142855,199.60620625766666,30.45749266929917,-2775.911416916635,-2696.5937173497205,51847.0565,59431.28287414009,44262.83012585991,37.2887890647766,-101.59140493645145,-60.92367206616304,4209.496,4684.787605666249,3734.204394333751,30.031336363578603,-12.777809983875699,-9.538933259391776,191.570894622,234.25766293176594,148.88412631223406
2021-12-16,47663.42,1456.25725801,3955.08,16395.42037346,176.95466614,2766320569.0,-0.024826073044001973,-0.016274054784094605,-0.0077723310053308126,48331.79714285715,53617.35733333334,3964.5442857142857,4221.715666666667,168.16942269285715,198.196727498,29.74969001859887,-2745.2520267238433,-2706.325379224545,51540.759999999995,59287.76329775401,43793.75670224598,37.39137862052535,-104.60428228929504,-69.65979411078945,4204.955,4688.491633500297,3721.4183664997026,27.3729661307151,-11.982374243513334,-10.027621456216089,190.8430404655,234.02757985264145,147.65850107835854
2021-12-17,46210.92,2077.28024679,3877.3,35047.53813234,175.5032959,2711688386.0,-0.03047410362076408,-0.01966584746705491,-0.008201932572106996,48198.725714285705,53145.26633333333,3961.062857142857,4207.898,169.2477743957143,196.7563293453333,31.70328146230537,-2805.8151594591327,-2726.2233352714625,51112.573000000004,59051.26556807476,43173.880431925245,41.40128022617994,-111.97739950546202,-78.12331518972397,4193.805,4697.372303963445,3690.237696036556,32.944968258214814,-11.338397152762013,-10.289776595525275,189.96309738099998,233.66788275403945,146.2583120079605
2021-12-18,46881.87,827.39374258,3961.56,19864.71782747,182.83512878,1690397976.0,0.014519295439259894,0.021731617362597655,0.041776040970635586,47838.91571428571,52810.74,3942.8257142857146,4206.624666666667,170.80286516285716,196.334586588,42.97467167763563,-2767.7667288732773,-2734.532013991826,50589.739,58171.260010678896,43008.21798932111,45.91601962917107,-109.75636713060248,-84.44992557789968,4176.84,4688.025594723279,3665.6544052767213,41.030530350758596,-10.119768636500908,-10.255775003720402,189.07102127000002,232.58296993957975,145.55907260042028
