timestamp,btc_price,btc_volume,eth_price,eth_volume,sol_price,sol_volume
2021-02-26 05:30:00,46314.83,8126.22740854,1447.06,52364.48905154,13.58794117,289687328.0
2021-02-27 05:30:00,46109.98,3071.56836645,1459.03,74913.18811541,13.20116806,247640940.0
2021-02-28 05:30:00,45240.96,6668.91811403,1421.77,147157.76998849,13.08924675,300493226.0
2021-03-01 05:30:00,49629.33,8512.7594378,1570.83,56377.83225247,14.95558834,306451693.0
2021-03-02 05:30:00,48516.35,4945.78880692,1488.8,38100.18145227,13.95892143,178549852.0
2021-03-03 05:30:00,50379.68,6151.4871525,1568.0,61937.70970425,14.11559105,153830742.0
2021-03-04 05:30:00,48360.5,5641.61213573,1538.23,81503.09889406,13.09798336,116364466.0
2021-03-05 05:30:00,48739.21,5219.24690875,1527.29,60074.77956313,12.61044312,90978408.0
2021-03-06 05:30:00,48904.63,2141.06029528,1651.16,76977.07129927,13.03645802,118851546.0
2021-03-07 05:30:00,50967.3,2818.44991057,1727.3,40239.80258044,13.87773228,117548176.0
2021-03-08 05:30:00,52427.8,4419.56113432,1835.06,65383.83569739,13.60218811,115525659.0
2021-03-09 05:30:00,54929.02,5428.85596399,1872.78,36537.83968677,14.84631062,134867044.0
2021-03-10 05:30:00,55852.29,6916.27818124,1793.51,80810.76160587,14.23108387,103150901.0
2021-03-11 05:30:00,57772.09,6640.48776529,1826.23,61046.12372644,15.99227905,229272516.0
2021-03-12 05:30:00,57271.04,5232.31057076,1767.48,40877.58101617,14.55214214,185287457.0
2021-03-13 05:30:00,61165.19,6187.83400169,1920.98,52560.20386912,15.3088026,145102757.0
2021-03-14 05:30:00,59016.39,3274.12215493,1848.37,26691.64731908,14.50826645,90232804.0
2021-03-15 05:30:00,55644.37,7725.21404982,1793.21,85342.28664203,14.18666172,102600692.0
2021-03-16 05:30:00,56908.34,7733.22669474,1805.65,87285.79635618,13.62277317,112303590.0
2021-03-17 05:30:00,58901.8,5840.07702599,1822.3,42379.79355185,14.2202034,94696339.0
2021-03-18 05:30:00,57648.05,5516.46389423,1776.02,32571.47907809,14.23002529,79074263.0
2021-03-19 05:30:00,58072.0,3523.48233151,1809.44,20843.87645642,14.20479584,68715211.0
2021-03-20 05:30:00,58138.39,2382.94564802,1803.79,31379.09823626,14.21198082,68049683.0
2021-03-22 05:30:00,54070.92,6566.96696309,1681.69,39276.54702311,14.9192934,260995136.0
2021-03-23 05:30:00,54361.57,4996.46365198,1670.16,33651.58421835,14.20483112,106780662.0
2021-03-26 05:30:00,55081.37,4874.25111496,1699.37,53482.28616506,14.77942085,149987319.0
2021-03-28 05:30:00,55790.92,2073.4491914,1686.5,22802.84139998,18.01623344,426120062.0
2021-03-29 05:30:00,57600.1,5362.21834836,1817.22,49178.38746818,18.85480881,216748601.0
2021-03-30 05:30:00,58760.59,3392.33861916,1842.12,37369.22480682,19.23392487,264028427.0
2021-03-31 05:30:00,58782.58,4595.25252072,1917.91,53215.26280621,19.46522903,206011018.0
2021-04-01 05:30:00,58728.53,2786.58091029,1967.82,39186.05458466,19.08490181,173731886.0
2021-04-02 05:30:00,59003.6,2564.6000207,2134.56,56445.16949676,19.81022263,131061660.0
2021-04-03 05:30:00,57064.42,1663.26835296,2008.28,40026.19831604,22.55227661,483057740.0
2021-04-04 05:30:00,58212.18,1440.63181986,2075.74,24508.82934953,24.06132317,426557980.0
2021-04-05 05:30:00,59125.0,2402.43713513,2107.23,30764.05085673,22.98428345,264085329.0
2021-04-06 05:30:00,58018.3,2711.39784733,2112.69,32765.44203896,24.95714569,320886935.0
2021-04-07 05:30:00,55932.83,5454.57661606,1963.08,42890.8370441,26.47808075,676846221.0
2021-04-08 05:30:00,58096.6,4586.80685854,2081.0,35731.7160459,27.03398705,377988327.0
2021-04-09 05:30:00,58143.82,2609.49288536,2069.47,23571.8153453,27.77827454,282477938.0
2021-04-10 05:30:00,59766.93,3917.95081704,2134.01,5815.6797451,26.84140396,270235258.0
2021-04-11 05:30:00,59979.26,1822.72044967,2148.15,12969.16074847,27.93189049,232938762.0
2021-04-12 05:30:00,59831.66,3707.43645474,2136.77,27358.29497177,28.51212311,308804546.0
2021-04-13 05:30:00,63564.48,5709.6716825,2299.69,42950.00622319,27.4355526,258183912.0
2021-04-14 05:30:00,64450.11,1211.63850656,2379.56,15866.08754876,26.47511101,342565805.0
2021-04-15 05:30:00,63239.19,3433.44934498,2517.35,46713.35027087,27.8183136,221346739.0
2021-04-16 05:30:00,61436.24,5778.81668659,2426.19,74898.11280087,25.39736557,240665351.0
2021-04-17 05:30:00,60032.29,3091.48365756,2317.11,39844.19803382,25.0998745,201720376.0
